Previous,Current,HighestNext,GoldAmount,ExpectedAmount,HighestProbAmount,HighestAmount,LowestAmount,IsSame
Under30_IL233,Under30_IL218,Under30_IL233,88.2,591.3827411764706,0.0,9681.75,0.0,False
Under30_IL218,Under30_IL233,Under30_IL218,122.0,808.5222823779193,682.5,6000.0,0.0,False
Under30_IL233,Under30_IL233,Under30_IL233,122.0,591.3827411764706,0.0,9681.75,0.0,True
Under30_IL233,Under30_IL227,Under30_IL233,122.0,591.3827411764706,0.0,9681.75,0.0,False
Under30_IL227,Under30_IL233,Under30_IL227,122.0,130.47912215758853,76.0,2787.0,0.0,False
Under30_IL233,Under30_IL233,Under30_IL233,122.0,591.3827411764706,0.0,9681.75,0.0,True
Under30_IL233,Under30_IL231,Under30_IL233,122.0,591.3827411764706,0.0,9681.75,0.0,False
Under30_IL231,Under30_IL228,Under30_IL233,27.0,620.1775696202533,0.0,9681.75,0.0,False
Under30_IL228,Under30_IL228,Under30_IL228,27.0,198.9727156743621,0.0,1246.75,0.0,True
Under30_IL228,Under30_IL227,Under30_IL228,298.0,198.9727156743621,0.0,1246.75,0.0,False
Under30_IL227,Under30_IL228,Under30_IL227,298.0,130.47912215758853,76.0,2787.0,0.0,False
Under30_IL228,Under30_IL228,Under30_IL228,298.0,198.9727156743621,0.0,1246.75,0.0,True
Under30_IL228,Under30_IL227,Under30_IL228,139.0,198.9727156743621,0.0,1246.75,0.0,False
Under30_IL227,Under30_IL234,Under30_IL227,58.48,130.47912215758853,76.0,2787.0,0.0,False
Under30_IL234,Under30_IL206,Under30_IL227,58.48,147.50443113772454,76.0,1249.0,0.0,False
Under30_IL206,Under30_IL218,Under30_IL206,77.0,203.2747902869757,51.4,6211.0,0.0,False
Under30_IL218,Under30_IL182,Under30_IL218,626.0,808.5222823779193,682.5,6000.0,0.0,False
Under30_IL182,Under30_IL182,Under30_IL182,55.0,187.88584269662925,55.0,1439.0,50.0,True
Under30_IL182,Under30_IL234,Under30_IL182,690.0,187.88584269662925,55.0,1439.0,50.0,False
Under30_IL234,Under30_IL170,Under30_IL227,690.0,147.50443113772454,76.0,1249.0,0.0,False
Under30_IL170,Under30_IL227,Under30_IL227,115.0,200.1320547945205,76.0,891.0,9.2,True
Under30_IL227,Under30_IL170,Under30_IL227,2114.0,130.47912215758853,76.0,2787.0,0.0,False
Under30_IL170,Under30_IL170,Under30_IL227,2114.0,200.1320547945205,76.0,891.0,9.2,False
Under30_IL170,Under30_IL234,Under30_IL227,2114.0,200.1320547945205,76.0,891.0,9.2,False
Under30_IL234,Under30_IL171,Under30_IL227,2114.0,147.50443113772454,76.0,1249.0,0.0,False
Under30_IL171,Under30_IL170,Under30_IL227,2114.0,328.4464285714286,173.0,1081.58,0.0,False
Under30_IL170,Under30_IL170,Under30_IL227,2776.0,200.1320547945205,76.0,891.0,9.2,False
Under30_IL170,Under30_IL234,Under30_IL227,2776.0,200.1320547945205,76.0,891.0,9.2,False
Under30_IL234,Under30_IL170,Under30_IL227,2776.0,147.50443113772454,76.0,1249.0,0.0,False
Under30_IL170,Under30_IL171,Under30_IL227,2776.0,200.1320547945205,76.0,891.0,9.2,False
Under30_IL171,Under30_IL227,Under30_IL227,112.0,328.4464285714286,173.0,1081.58,0.0,True
Under30_IL227,Under30_IL227,Under30_IL227,112.0,130.47912215758853,76.0,2787.0,0.0,True
Under30_IL227,Under30_IL227,Under30_IL227,76.0,130.47912215758853,76.0,2787.0,0.0,True
Under30_IL227,Under30_IL227,Under30_IL227,144.0,130.47912215758853,76.0,2787.0,0.0,True
Under30_IL227,Under30_IL206,Under30_IL227,64.0,130.47912215758853,76.0,2787.0,0.0,False
Under30_IL206,Under30_IL206,Under30_IL206,64.0,203.2747902869757,51.4,6211.0,0.0,True
Under30_IL206,Under30_IL202,Under30_IL206,212.0,203.2747902869757,51.4,6211.0,0.0,False
Under30_IL202,Under30_IL227,Under30_IL233,212.0,524.6026923076923,0.0,8156.0,0.0,False
Under30_IL227,Under30_IL203,Under30_IL227,17.0,130.47912215758853,76.0,2787.0,0.0,False
Under30_IL203,Under30_IL202,Under30_IL203,9681.75,85.13066666666667,43.0,156.0,43.0,False
Under30_IL202,Under30_IL233,Under30_IL233,45.0,524.6026923076923,0.0,8156.0,0.0,True
Under30_IL233,Under30_IL233,Under30_IL233,9681.75,591.3827411764706,0.0,9681.75,0.0,True
Under30_IL233,Under30_IL231,Under30_IL233,9681.75,591.3827411764706,0.0,9681.75,0.0,False
Under30_IL231,Under30_IL233,Under30_IL233,45.0,620.1775696202533,0.0,9681.75,0.0,True
Under30_IL233,Under30_IL233,Under30_IL233,9681.75,591.3827411764706,0.0,9681.75,0.0,True
Under30_IL233,Under30_IL243,Under30_IL233,9681.75,591.3827411764706,0.0,9681.75,0.0,False
Under30_IL243,Under30_IL231,Under30_IL243,9681.75,430.03000000000003,115.4,1553.83,0.0,False
Under30_IL231,Under30_IL233,Under30_IL233,9681.75,620.1775696202533,0.0,9681.75,0.0,True
Under30_IL233,Under30_IL233,Under30_IL233,9681.75,591.3827411764706,0.0,9681.75,0.0,True
Under30_IL233,Under30_IL233,Under30_IL233,45.0,591.3827411764706,0.0,9681.75,0.0,True
Under30_IL233,Under30_IL233,Under30_IL233,45.0,591.3827411764706,0.0,9681.75,0.0,True
Under30_IL233,Under30_IL233,Under30_IL233,45.0,591.3827411764706,0.0,9681.75,0.0,True
Under30_IL233,Under30_IL200,Under30_IL233,45.0,591.3827411764706,0.0,9681.75,0.0,False
Under30_IL200,Under30_IL233,Under30_IL227,45.0,152.48372093023252,0.0,1314.0,0.0,False
Under30_IL233,Under30_IL233,Under30_IL233,9681.75,591.3827411764706,0.0,9681.75,0.0,True
Under30_IL233,Under30_IL233,Under30_IL233,9681.75,591.3827411764706,0.0,9681.75,0.0,True
Under30_IL233,Under30_IL200,Under30_IL233,9681.75,591.3827411764706,0.0,9681.75,0.0,False
Under30_IL200,Under30_IL183,Under30_IL227,9681.75,152.48372093023252,0.0,1314.0,0.0,False
Under30_IL183,Under30_IL183,Under30_IL233,14.0,1829.7965306122449,45.0,8156.0,13.5,False
Under30_IL183,Under30_IL233,Under30_IL233,45.0,1829.7965306122449,45.0,8156.0,13.5,True
Under30_IL233,Under30_IL233,Under30_IL233,45.0,591.3827411764706,0.0,9681.75,0.0,True
Under30_IL233,Under30_IL233,Under30_IL233,9681.75,591.3827411764706,0.0,9681.75,0.0,True
Under30_IL233,Under30_IL227,Under30_IL233,9681.75,591.3827411764706,0.0,9681.75,0.0,False
Under30_IL227,Under30_IL231,Under30_IL227,9681.75,130.47912215758853,76.0,2787.0,0.0,False
Under30_IL231,Under30_IL233,Under30_IL233,9681.75,620.1775696202533,0.0,9681.75,0.0,True
Under30_IL233,Under30_IL193,Under30_IL233,330.0,591.3827411764706,0.0,9681.75,0.0,False
Under30_IL193,Under30_IL227,Under30_IL193,380.0,682.1955555555555,252.0,3058.0,106.0,False
Under30_IL227,Under30_IL228,Under30_IL227,380.0,130.47912215758853,76.0,2787.0,0.0,False
Under30_IL228,Under30_IL228,Under30_IL228,380.0,198.9727156743621,0.0,1246.75,0.0,True
Under30_IL228,Under30_IL228,Under30_IL228,380.0,198.9727156743621,0.0,1246.75,0.0,True
Under30_IL228,Under30_IL228,Under30_IL228,380.0,198.9727156743621,0.0,1246.75,0.0,True
Under30_IL228,Under30_IL203,Under30_IL228,325.0,198.9727156743621,0.0,1246.75,0.0,False
Under30_IL203,Under30_IL227,Under30_IL203,80.0,85.13066666666667,43.0,156.0,43.0,False
Under30_IL227,Under30_IL203,Under30_IL227,42.0,130.47912215758853,76.0,2787.0,0.0,False
Under30_IL203,Under30_IL227,Under30_IL203,211.0,85.13066666666667,43.0,156.0,43.0,False
